c101

VEHICLE
NUMBER		 CAPACITY
	6				 20

CUSTOMER
CUST NO.     XCOORD.    YCOORD.      DEMAND    READY TIME  DUE DATE  SERVICE TIME  AVAIL. TIME


	 0				   40				   50				    0				   0				  3600				   0				    0
     1				   22				   75				    1				   0				  600				   30				    0
     2				   65				   85				    2				   825				  1050				   60				    0
     3				   40				   5				    2				   0				  900				   60				    0
     4				   2				   45				    2				   1575				  1800				   60				    0
     5				   40				   60				    4				   0				  1275				   120				    0
     6				   5				   5				    2				   0				  1575				   60				    0
     7				   95				   30				    3				   0				  450				   90				    0
     8				   49				   42				    2				   0				  1575				   60				    0
     9				   4				   18				    2				   2025				  2850				   60				    0
    10				   31				   67				    4				   0				  675				   120				    0
    11				   10				   20				    2				   0				  2700				   60				    0
    12				   80				   70				    2				   0				  2850				   60				    0
    13				   72				   35				    4				   1800				  2250				   120				    0
    14				   60				   10				    3				   0				  3225				   90				    0
    15				   90				   35				    4				   0				  150				   120				    0
    16				   55				   85				    2				   0				  1200				   60				    0
    17				   58				   75				    1				   0				  1125				   30				    0
    18				   25				   30				    2				   2700				  2925				   60				    0
    19				   15				   60				    4				   0				  900				   120				    0
    20				   63				   65				    2				   0				  825				   60				    0
    21				   23				   3				    3				   0				  1350				   90				    0
    22				   6				   68				    2				   0				  2025				   60				    0
    23				   37				   47				    2				   0				  2850				   60				    0
    24				   61				   52				    1				   2850				  3525				   30				    0
    25				   55				   54				    1				   0				  1800				   30				    0
    26				   20				   85				    1				   900				  1050				   30				    100
    27				   85				   25				    1				   900				  1050				   30				    200
    28				   8				   56				    2				   900				  1050				   60				    360
    29				   27				   43				    1				   1200				  1575				   30				    390
    30				   57				   37				    2				   0				  1800				   60				    400
    31                 8                   40                   1                  1800               2250                 30                   1000
    32                 60                  55                   2                  1800               2250                 60                   1000
    33                 15                  75                   2                  0                  2800                 60                   1860
    34                 35                  66                   1                  2700               3000                 30                   1860
    35                 75                  55                   1                  2700               3000                 30                   1860
