c102

VEHICLE
NUMBER		 CAPACITY
	10				 20

CUSTOMER
CUST NO.     XCOORD.    YCOORD.      DEMAND    READY TIME  DUE DATE  SERVICE TIME  AVAIL. TIME

	  0				   40				   50				   0				    0				 1236				    0				    0
	  1				   45				   68				   1				    0				 1127				   30				    0
	  2				   42				   66				   1				    0				 1129				   30				    0
	  3				   40				   66				   2				    0				 1130				   60				    0
	  4				   38				   70				   1				  534				  605				   30				    0
	  5				   25				   85				   2				    0				 1107				   60				    0
	  6				   22				   85				   1				  567				  620				   30				    0
	  7				   20				   85				   4				  475				  528				   120				    0
	  8				   30				   52				   2				    0				 1135				   60				    0
	  9				   25				   50				   1				   65				  144				   30				    0
	 10				   25				   55				   1				    0				 1130				   30				    0
	 11				   20				   55				   1				  449				  504				   30				    0
	 12				   10				   40				   3				   31				  100				   90				    0
	 13				    8				   45				   2				    0				 1113				   60				    0
	 14				    2				   40				   2				    0				 1106				   60				    0
	 15				    0				   45				   2				  567				  624				   60				    0
	 16				   35				   32				   1				  166				  235				   30				    0
	 17				   32				   30				   1				  359				  412				   30				    0
	 18				   28				   30				   1				    0				 1122				   30				    0
	 19				   25				   35				   1				    0				 1124				   30				    0
	 20				   42				   15				   1				   95				  158				   30				    0
	 21				   40				   15				   4				   35				   87				   120				    0
	 22				   38				   15				   1				    0				 1110				   30				    0
	 23				   50				   30				   1				  531				  610				   30				    0
	 24				   50				   40				   4				  171				  218				   120				    0
	 25				   45				   30				   1				  734				  777				   30				    0
	 26				   53				   30				   1				    0				 1122				   30				    0
	 27				   45				   65				   2				    0				 1130				   60				    0
	 28				   87				   30				   1				  668				  731				   30				    0
	 29				   85				   35				   3				   47				  124				   90				    0
	 30				   72				   55				   1				    0				 1113				   30				    0
	 31				   68				   60				   3				    0				 1116				   90				    0
	 32				   65				   55				   2				   85				  144				   60				    0
	 33				   60				   60				   1				    0				 1123				   30				    0
	 34				   65				   85				   4				  475				  518				   120				    0
	 35				   62				   80				   3				    0				 1108				   90				    0
	 36				   58				   75				   2				    0				 1115				   60				    0
	 37				   65				   60				   3				  100				  235				   90				    6
	 38				   30				   30				   1				   0				  600				   30				   20
	 39				   48				   40				   1				   76				  129				   30				   20
	 40				   33				   32				   2				   0				  149				   60				   27
	 41				   28				   52				   2				  812				  883				   60				   30
	 42				   90				   35				   1				   0				  260				   30				   31
	 43				   18				   75				   2				   478				  948				   60				   49
	 44				   95				   30				   3				   0				  456				   90				   73
	 45				   88				   35				   2				  109				  170				   60				   76
	 46				   45				   35				   1				   0				  969				   30				  105
	 47				   92				   30				   1				  478				  551				   30				  129
	 48				   15				   75				   2				   0				  254				   60				  136
	 49				   23				   52				   1				  261				  316				   30				  157
	 50				   42				   10				   4				   0				  708				   120				  159
	 51				   15				   80				   1				  734				  1122				   30				  166
	 52				   23				   55				   2				   0				  593				   60				  187
	 53				   63				   58				   1				  737				  802				   30				  224
	 54				   60				   85				   3				   0				  622				   90				  228
	 55				   30				   32				   3				  448				  509				   90				  256
	 56				   42				   68				   1				   0				  782				   30				  295
	 57				   40				   69				   2				  621				  702				   60				  307
	 58				   48				   30				   1				   0				  693				   30				  313
	 59				   28				   35				   1				   0				 1066				   30				  316
	 60				   55				   85				   2				   0				 1116				   60				  385
     61				   35				   69				   1				  748				  905				   30				  418
     62				    5				   45				   1				   0				  1110				   30				  621
     63				   47				   35				   1				  826				  875				   30				  624
     64				   25				   30				   1				   0				  986				   30				  639
