c102

VEHICLE
NUMBER		 CAPACITY
	10				 20

CUSTOMER
CUST NO.     XCOORD.    YCOORD.      DEMAND      READY TIME  DUE DATE  SERVICE TIME  AVAIL. TIME

	  0				   40				   50				   0				    0                7200                   0                   0
	  1				   45				   68				   1				    0				 6565				   30				    0
	  2				   42				   66				   1				    0				 6576				   30				    0
	  3				   40				   66				   2				    0				 6582				   60				    0
	  4				   38				   70				   1				 3111				 3524				   30				    0
	  5				   25				   85				   2				    0				 6448				   60				    0
	  6				   22				   85				   1				 3303				 3612				   30				    0
	  7				   20				   85				   4				 2767				 3076				   120				    0
	  8				   30				   52				   2				    0				 6611				   60				    0
	  9				   25				   50				   1				  378				  838				   30				    0
	 10				   25				   55				   1				    0				 6582				   30				    0
	 11				   20				   55				   1				 2615				 2936				   30				    0
	 12				   10				   40				   3				  180				  582				   90				    0
	 13				   10				   45				   2				    0				 6483				   60				    0
	 14				    5				   40				   2				    0				 6442				   60				    0
	 15				    5				   45				   2				 3303				 3639				   60				    0
	 16				   35				   32				   1				  967				 1369				   30				    0
	 17				   32				   30				   1				 2091				 2400				   30				    0
	 18				   28				   30				   1				    0				 6536				   30				    0
	 19				   25				   35				   1				    0				 6547				   30				    0
	 20				   42				   15				   1				  553				  920				   30				    0
	 21				   40				   15				   4				  204				  507				   120				    0
	 22				   38				   15				   1				    0				 6466				   30				    0
	 23				   50				   30				   1				 3093				 3553				   30				    0
	 24				   50				   40				   4				  996				 1270				   120				    0
	 25				   45				   30				   1				 4276				 4526				   30				    0
	 26				   53				   30				   1				    0				 6536				   30				    0
	 27				   45				   65				   2				    0				 6582				   60				    0
	 28				   60				   30				   1				 3891				 4258				   30				    0
	 29				   60				   35				   3				  274				  722				   90				    0
	 30				   70				   55				   1				    0				 6483				   30				    0
	 31				   70				   60				   3				    0				 6500				   90				    0
	 32				   65				   55				   2				  495				  839				   60				    0
	 33				   60				   60				   1				    0				 6541				   30				    0
	 34				   65				   85				   4				 2767				 3017				   120				    0
	 35				   62				   80				   3				    0				 6454				   90				    0
	 36				   58				   75				   2				    0				 6495				   60				    0
	 37				   65				   60				   3				  582				 1369				   90				   35
	 38				   30				   30				   1				    0				 3495				   30				   116
	 39				   48				   40				   1				  443				  751				   30				   116
	 40				   33				   32				   2				    0				  868				   60				   157
	 41				   28				   52				   2				 4730				 5143				   60				   175
	 42				   75				   35				   1				    0				 1515				   30				   181
	 43				   18				   75				   2				 2784				 5522				   60				   285
	 44				   70				   30				   3				    0				 2656				   90				   425
	 45				   70				   35				   2				  635				  990				   60				   443
	 46				   45				   35				   1				    0				 5644				   30				   612
	 47				   75				   30				   1				 2784				 3210				   30				   751
	 48				   15				   75				   2				    0				 1480				   60				   792
	 49				   23				   52				   1				 1520				 1841				   30				   915
	 50				   50				   15				   4				    0				 4124				   120				   926
	 51				   15				   80				   1				 4276				 6536				   30				   967
	 52				   23				   55				   2				    0				 3454				   60				   1089
	 53				   63				   58				   1				 4293				 4672				   30				   1305
	 54				   60				   85				   3				    0				 3623				   90				   1328
	 55				   30				   32				   3				 2610				 2965				   90				   1491
	 56				   42				   68				   1				    0				 4555				   30				   1718
	 57				   40				   69				   2				 3617				 4089				   60				   1788
	 58				   48				   30				   1				    0				 4037				   30				   1823
	 59				   28				   35				   1				    0				 6209				   30				   1841
	 60				   55				   85				   2				    0				 6500				   60				   2243
     61				   35				   69				   1				 4357				 5272				   30				   2435
     62				    5				   50				   1				    0				 6466				   30				   3617
     63				   47				   35				   1				 4811				 5097				   30				   3635
     64				   25				   30				   1				    0				 5743				   30				   3722
